,Date,daily_generacion,daily_consumo_combustible,daily_demanda,daily_aportes_energia,daily_volumen_util_energia,daily_disponibilidad_real,daily_precio_bolsa,daily_emision_CO2_eq
135,2014-02-13,184.69488075,547.87993,182.20848428,79.273,8516.7265995,294.95832,186.00375,38900.38999999999
136,2014-02-14,183.99539862999998,545.8871700000001,181.53701299000002,73.2292,8460.0796698,297.59184,187.84708333333333,38961.37
137,2014-02-15,174.96587865,522.41887,173.23040459,61.7906,8399.521193100001,295.52855999999997,202.35,37143.43000000001
138,2014-02-16,155.24733067000003,523.69332,154.27605304,65.9585,8358.170251399999,295.58183999999994,199.5,37358.75000000001
139,2014-02-17,182.55119188,511.12566000000004,179.95526147,62.8976,8292.520421,299.532,194.0691666666667,36223.96
140,2014-02-18,183.41411828000003,531.05731,180.81973949000002,78.4996,8242.3012908,296.2631999999999,189.79916666666668,37808.270000000004
141,2014-02-19,183.61564805,559.6277299999999,181.01195801,91.6093,8193.7203109,295.34952000000004,184.79166666666666,40083.54
142,2014-02-20,184.57456671,534.0395299999999,181.89570654,89.4398,8156.9263769,295.1184,190.96249999999998,37956.929999999986
143,2014-02-21,183.59860567,510.18030999999996,180.99562563,125.8226,8140.050982600001,295.23888,172.08624999999998,36480.3
144,2014-02-22,173.35520674,399.65992,171.44235068,102.3129,8115.2649895,284.32944,182.57666666666668,29036.03
145,2014-02-23,156.51061629999998,444.21789,154.29197299,85.7744,8099.5756668,288.636,168.74541666666667,32076.959999999995
146,2014-02-24,181.31841563,353.33494,178.82530114,90.3007,8032.0607811,279.20232,165.99125,26214.91
147,2014-02-25,183.79923859000002,448.76156999999995,180.76494899000002,119.4936,8013.9005713999995,281.34864,167.8775,31965.370000000003
148,2014-02-26,183.40616339000002,476.28971000000007,181.22024754,95.0062,7973.4028165,288.94223999999997,177.60041666666666,34534.21
149,2014-02-27,183.60022653000001,475.80224,181.2769523,213.6152,8048.0673371,287.04336,167.715,34666.41
